"","date","compraBs","ventaBs","periodo"
"1",2020-03-27,"77698.72684875","77893.4605","Año_2020_Trimestre_I"
"2",2020-03-30,"80069.42245575","80270.0977","Año_2020_Trimestre_I"
"3",2020-03-31,"80743.36018875","80945.7245","Año_2020_Trimestre_I"
"4",2020-04-01,"83167.2797025","83375.719","Año_2020_Trimestre_II"
"5",2020-04-02,"84481.58779725","84693.3211","Año_2020_Trimestre_II"
"6",2020-04-03,"86441.23420275","86657.8789","Año_2020_Trimestre_II"
"7",2020-04-06,"91602.48094725","91832.0611","Año_2020_Trimestre_II"
"8",2020-04-07,"96390.851319","96632.4324","Año_2020_Trimestre_II"
"9",2020-04-08,"100727.679276","100980.1296","Año_2020_Trimestre_II"
"10",2020-04-13,"105641.9274645","105906.6942","Año_2020_Trimestre_II"
"11",2020-04-14,"113549.384277","113833.9692","Año_2020_Trimestre_II"
"12",2020-04-15,"120558.25827675","120860.4093","Año_2020_Trimestre_II"
"13",2020-04-16,"125660.151477","125975.0892","Año_2020_Trimestre_II"
"14",2020-04-17,"125260.097718","125574.0328","Año_2020_Trimestre_II"
"15",2020-04-20,"127724.1698985","128044.2806","Año_2020_Trimestre_II"
"16",2020-04-21,"128770.335729","129093.0684","Año_2020_Trimestre_II"
"17",2020-04-22,"144594.79712475","144957.1901","Año_2020_Trimestre_II"
"18",2020-04-23,"171146.5702275","171575.509","Año_2020_Trimestre_II"
"19",2020-04-24,"170645.167875","171072.85","Año_2020_Trimestre_II"
"20",2020-04-27,"169916.82160425","170342.6783","Año_2020_Trimestre_II"
"21",2020-04-28,"175220.6929935","175659.8426","Año_2020_Trimestre_II"
"22",2020-04-29,"176121.66422025","176563.0719","Año_2020_Trimestre_II"
"23",2020-04-30,"176096.69519925","176538.0403","Año_2020_Trimestre_II"
"24",2020-05-04,"174975.546396","175414.0816","Año_2020_Trimestre_II"
"25",2020-05-05,"171444.860034","171874.5464","Año_2020_Trimestre_II"
"26",2020-05-06,"168940.4776815","169363.8874","Año_2020_Trimestre_II"
"27",2020-05-07,"172520.44363575","172952.8257","Año_2020_Trimestre_II"
"28",2020-05-08,"178571.711451","179019.2596","Año_2020_Trimestre_II"
"29",2020-05-11,"178656.81386175","179104.5753","Año_2020_Trimestre_II"
"30",2020-05-12,"178086.110097","178532.4412","Año_2020_Trimestre_II"
"31",2020-05-13,"178593.74054025","179041.3439","Año_2020_Trimestre_II"
"32",2020-05-14,"181221.6869085","181675.8766","Año_2020_Trimestre_II"
"33",2020-05-15,"182590.678053","183048.2988","Año_2020_Trimestre_II"
"34",2020-05-18,"182879.257197","183337.6012","Año_2020_Trimestre_II"
"35",2020-05-19,"182377.1390385","182834.2246","Año_2020_Trimestre_II"
"36",2020-05-20,"183074.99951475","183533.8341","Año_2020_Trimestre_II"
"37",2020-05-21,"187659.5826315","188129.9074","Año_2020_Trimestre_II"
"38",2020-05-22,"192921.07682925","193404.5883","Año_2020_Trimestre_II"
"39",2020-05-26,"192980.66319","193464.324","Año_2020_Trimestre_II"
"40",2020-05-27,"195559.6322085","196049.7566","Año_2020_Trimestre_II"
"41",2020-05-28,"196721.91731325","197214.9547","Año_2020_Trimestre_II"
"42",2020-05-29,"197615.31422325","198110.5907","Año_2020_Trimestre_II"
"43",2020-06-01,"197300.2553445","197794.7422","Año_2020_Trimestre_II"
"44",2020-06-02,"196696.067001","197189.0396","Año_2020_Trimestre_II"
"45",2020-06-03,"197021.22257475","197515.0101","Año_2020_Trimestre_II"
"46",2020-06-04,"198155.0757375","198651.705","Año_2020_Trimestre_II"
"47",2020-06-05,"198533.35596675","199030.9333","Año_2020_Trimestre_II"
"48",2020-06-08,"197689.640043","198185.1028","Año_2020_Trimestre_II"
"49",2020-06-09,"197398.972533","197893.7068","Año_2020_Trimestre_II"
"50",2020-06-10,"200663.38674375","201166.3025","Año_2020_Trimestre_II"
"51",2020-06-11,"201959.386923","202465.5508","Año_2020_Trimestre_II"
"52",2020-06-12,"202749.36552675","203257.5093","Año_2020_Trimestre_II"
"53",2020-06-15,"202996.44368325","203505.2067","Año_2020_Trimestre_II"
"54",2020-06-16,"203130.544491","203639.6436","Año_2020_Trimestre_II"
"55",2020-06-17,"202949.21405325","203457.8587","Año_2020_Trimestre_II"
"56",2020-06-18,"202375.98571575","202883.1937","Año_2020_Trimestre_II"
"57",2020-06-19,"202331.793972","202838.8912","Año_2020_Trimestre_II"
"58",2020-06-22,"201234.22666725","201738.5731","Año_2020_Trimestre_II"
"59",2020-06-23,"201456.49520325","201961.3987","Año_2020_Trimestre_II"
"60",2020-06-25,"201651.6244575","202157.017","Año_2020_Trimestre_II"
"61",2020-06-26,"201825.68132475","202331.5101","Año_2020_Trimestre_II"
"62",2020-06-30,"203906.647371","204417.6916","Año_2020_Trimestre_II"
